Marcha,Autor,Año,Duración (seg),Duración (min),Dedicatoria,Localidad,Corneta,DR,LS,MS,XS,JS,VS,SS,Total_M
Hosanna in Excelsis,Óscar Navarro,2009,185,0:03:05,Sin dedicatoria,NA,0,0,0,0,1,1,0,0,2
Impresión del Jueves Santo en Sevilla,Manuel López Farfán,1938,320,0:05:20,Persona,Sevilla,0,0,0,0,0,0,1,0,1
Jerusalén,José Vélez García,1999,322,0:05:22,Burrita,Calasparra,0,1,1,0,0,0,0,0,2
Jesus de las Penas,Antonio Pantión Pérez,1943,329,0:05:29,Jesús de las Penas,Sevilla,0,0,0,1,0,0,1,1,3
La Amargura,Jesús Joaquín Espinosa de los Monteros,2020,324,0:05:24,Virgen de la Amargura,Sevilla,0,0,0,2,0,0,0,1,3
La Caridad del Arenal,Jesús Joaquín Espinosa de los Monteros,2010,303,0:05:03,Virgen de la Caridad,Sevilla,1,1,0,0,1,1,0,0,3
La Carretería,Francisco Pastor Bueno,2011,260,0:04:20,Hermandad de la Carretería,Sevilla,0,0,0,0,0,0,1,0,1
La Espada Dolorosa,Pablo Bellido Alba,2018,286,0:04:46,Hermandad de la Carretería,Sevilla,0,0,0,0,0,0,1,0,1
La Esperanza,Francisco Fernandez,NA,277,0:04:37,Virgen de la Esperanza,Sanlúcar de Barrameda,1,0,0,0,0,1,0,0,1
La Esperanza de Triana,Manuel López Farfán,1925,291,0:04:51,Virgen de la Esperanza de Triana,Sevilla,1,0,1,0,0,1,0,0,2
La Estrella Sublime,Manuel López Farfán,1925,217,0:03:37,Virgen de la Hiniesta,Sevilla,1,1,1,0,1,1,0,0,4
La Grave,Francisco Soler Soria,1908,309,0:05:09,Sin dedicatoria,Sevilla,0,0,0,1,0,0,1,0,2
La Madrugá,Abel Moreno,1987,460,0:07:40,Madrugá,Sevilla,0,0,0,0,0,0,0,1,1
La Sagrada Lanzada,Manuel Font Fernández de la Herranz,1928,278,0:04:38,Hdad Sagrada Lanzada,Sevilla,0,0,0,1,0,0,1,0,2
La Sangre y la Gloria,Alfonso Lozano Ruiz,2009,284,0:04:44,Hdad. Del Cister,Córdoba,1,0,0,1,0,0,0,1,2
La Soledad,Pedro Morales,1991,459,0:07:39,Soledad de San Lorenzo,Sevilla,0,0,0,1,0,0,0,1,2
La Viña te Corona,José Félix García Domínguez,2022,276,0:04:36,Virgen de las Penas,Cádiz,1,0,1,0,0,0,0,0,1
La Virgen de la O,Antonio Moreno Pozo,2014,267,0:04:27,Virgen de la O,Málaga,1,1,0,0,0,1,0,0,2
La Virgen de las Angustias,David Hurtado Torres,2020,333,0:05:33,Virgen de las Angustias,Alcalá del Rio,1,1,1,0,1,1,0,0,4
La Virgen de los Desamparados,Cristóbal López Gándara,2017,312,0:05:12,Virgen de los Desamparados,Sevilla,1,1,1,0,0,1,0,0,3
La Virgen de Sevilla,Víctor Artuto López López,2009,300,0:05:00,Esperanza Macarena,Sevilla,1,1,0,0,0,1,0,0,2
